Number,Gender,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,Country,EmailAddress,TelephoneNumber,MothersMaiden,Birthday,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS
1,female,Melissa,J,Palmer,4 Lynch Street,Milwaukee,WI,53213,US,Melissa.J.Palmer@trashymail.com,920-959-8247,Mccraw,9/29/1972,Visa,4539818258530846,986,8/2012,399-50-9188,1Z 791 A19 32 5113 191 8
2,male,Edwin,M,Corder,4302 Pick Street,RIDGEWAY,CO,81432,US,Edwin.M.Corder@mailinator.com,970-626-1897,Lowe,2/28/1953,Visa,4539237801756446,766,10/2009,651-40-7947,1Z 920 V07 82 4973 862 7
3,female,Laura,A,Olvera,365 Tori Lane,Salt Lake City,UT,84116,US,Laura.A.Olvera@spambob.com,801-599-5964,Underwood,4/11/1963,MasterCard,5110911639811748,108,5/2009,646-60-5040,1Z 218 336 20 5698 763 0
4,male,Wayne,D,Adams,3643 Nash Street,Chicago,IL,60605,US,Wayne.D.Adams@spambob.com,312-948-6927,Hood,7/16/1957,Visa,4485659958481177,716,1/2012,338-34-7859,1Z 559 919 94 5100 771 4
5,female,Mari,R,Smith,3024 Atha Drive,Palmdale,CA,93550,US,Mari.R.Smith@dodgit.com,661-574-4919,Kirk,7/30/1973,MasterCard,5522479921912071,816,11/2012,604-80-3220,1Z E47 472 49 3619 176 3
6,male,Craig,H,Salazar,3929 Goosetown Drive,Hendersonville,NC,28792,US,Craig.H.Salazar@trashymail.com,828-697-6697,Booth,1/15/1959,Visa,4539506713188082,227,12/2013,237-08-0918,1Z 141 923 05 3413 255 6
7,male,Henry,S,Clark,205 Charla Lane,Mesquite,TX,75150,US,Henry.S.Clark@dodgit.com,972-686-5507,Root,8/28/1962,Visa,4556482204037410,095,6/2010,631-64-2546,1Z 429 622 33 3366 310 7
8,male,Jerry,L,Littleton,1652 My Drive,Elmsford,NY,10523,US,Jerry.L.Littleton@pookmail.com,347-219-4091,Chan,9/5/1975,MasterCard,5164373404255830,582,6/2011,078-09-5974,1Z 7F5 9W8 00 9090 167 1
9,female,Georgia,V,Allen,1226 Jefferson Street,Norfolk,VA,23510,US,Georgia.V.Allen@spambob.com,757-774-4490,Dumas,5/17/1952,Visa,4532614505344579,718,3/2011,226-35-8913,1Z 786 597 13 2272 614 4
10,male,Ted,A,Harding,2143 Lake Floyd Circle,HOCKESSIN,DE,19707,US,Ted.A.Harding@pookmail.com,302-239-3674,Vu,7/12/1958,MasterCard,5540777284622064,055,1/2013,221-01-4409,1Z E98 834 24 9358 381 7
11,male,Jose,J,Houston,2639 Olive Street,Shelby,OH,44875,US,Jose.J.Houston@trashymail.com,419-342-5793,Willis,4/23/1943,Visa,4716249897169512,962,4/2009,294-88-9058,1Z 61W 020 74 7434 765 9
